model,mae,mae_ci_lo,mae_ci_hi,rmse,rmse_ci_lo,rmse_ci_hi
XGBoost (Improved),0.4327,0.4105,0.4548,0.9032,0.8458,0.9593
RF MoE,0.434,0.4115,0.4563,0.8985,0.8438,0.95
RF (Improved),0.4388,0.4162,0.4609,0.8955,0.8451,0.9437
RF Baseline,0.4834,0.462,0.504,0.9781,0.9323,1.0228
Historical Avg,0.645,0.6166,0.6712,1.3169,1.2522,1.3723
Naive (GTFS),0.7338,0.6985,0.7683,1.5156,1.4389,1.5782
