config,n_features,features_added,model,MAE (dk),RMSE (dk),MAPE (%),R2
c0,6,taban: temporal+spatial,XGBoost Improved (log-transform),0.5604,1.2806,48.28,0.2488
c0,6,taban: temporal+spatial,RF Improved (log-transform),0.567,1.2996,48.98,0.2264
c1,7,+ scheduled_travel_min (GTFS),XGBoost Improved (log-transform),0.5605,1.2808,48.3,0.2486
c1,7,+ scheduled_travel_min (GTFS),RF Improved (log-transform),0.567,1.2995,49.02,0.2264
c2,12,"+ deviation/lag (prev, cumul, rolling, is_trip_start)",RF Improved (log-transform),0.4913,1.0624,42.98,0.483
c2,12,"+ deviation/lag (prev, cumul, rolling, is_trip_start)",XGBoost Improved (log-transform),0.4924,1.0782,43.05,0.4675
c3,15,"+ historical (stop_hist_median/ratio, prev_speed_mpm)",RF Improved (log-transform),0.4905,1.0634,42.89,0.482
c3,15,"+ historical (stop_hist_median/ratio, prev_speed_mpm)",XGBoost Improved (log-transform),0.493,1.086,43.09,0.4598
c4,17,"+ dwell (dwell_time_sec, prev_dwell_time_sec)",XGBoost Improved (log-transform),0.431,0.8986,40.91,0.6301
c4,17,"+ dwell (dwell_time_sec, prev_dwell_time_sec)",RF Improved (log-transform),0.4388,0.8964,41.54,0.6319
