Hat,Segment (N),Ort. sure (dk),Std (dk),CV (std/mean),XGBoost MAE (dk),XGBoost MAPE (%),XGBoost R2,LSTM MAE (dk),LSTM MAPE (%),LSTM R2
502 (Cengizhan-Halkapinar),75579,1.208,1.544,1.278,0.4388,43.59,0.6367,0.3601,39.66,0.3368
268,115803,1.232,0.979,0.794,0.3793,37.44,0.5327,0.3225,33.36,0.4069
565,114572,1.088,0.872,0.801,0.3083,34.96,0.4786,0.2948,33.04,0.5308
