horizon_stops,n_trips,mae_xgb,mae_ci_lo,mae_ci_hi,mae_naive,linear_ref,mean_true_min,rel_err_pct
1,3324,0.5531,0.4523,0.6899,1.2986,0.5531,1.5784,35.0
3,955,1.9292,1.7839,2.1004,4.0778,2.8793,7.2125,26.7
5,919,2.0609,1.9074,2.2191,4.3293,3.6272,9.3675,22.0
10,793,2.4501,2.2729,2.6575,4.8243,5.4483,14.4953,16.9
end,3324,0.9096,0.749,1.1275,1.8167,2.1238,6.0289,15.1
