config,MAE (dk),features
deviation_history YOK,0.0197,16
Tam Model (tum ozellikler),0.0204,17
Hava durumu YOK,0.0241,12
scheduled + deviation YOK,0.0273,15
scheduled_travel_minutes YOK,0.0288,16
