Metrik,Makale (Istanbul LSTM),Bizim (XGBoost (Improved)),Fark
MAE (dk),2.97,0.4304,-2.5396 (-85.5%)
MAPE (%),14.79,42.46,+27.6700 (+187.1%)
R2,0.9272,0.6358,-0.2914 (-31.4%)
