route,c0,c1,c2,c3,c4
route_502,0.5604,0.5605,0.4924,0.493,0.431
route_268,0.4117,0.4126,0.3834,0.3825,0.3712
route_565,0.3498,0.3499,0.3094,0.3089,0.3036
